theme_id,theme_name,parent_id
1,Technic,
2,Arctic Technic,1.0
3,Competition,1.0
4,Expert Builder,1.0
5,Model,1.0
6,Airport,5.0
7,Construction,5.0
8,Farm,5.0
9,Fire,5.0
10,Harbor,5.0
11,Off-Road,5.0
12,Race,5.0
13,Riding Cycle,5.0
14,Robot,5.0
15,Traffic,5.0
16,RoboRiders,1.0
17,Speed Slammers,1.0
18,Star Wars,1.0
19,Supplemental,1.0
20,Throwbot Slizer,1.0
21,Universal Building Set,1.0
22,Creator,
23,Basic Model,22.0
24,Airport,23.0
25,Castle,23.0
26,Construction,23.0
27,Race,23.0
28,Harbor,23.0
29,Train,23.0
30,Traffic,23.0
31,Creature,23.0
32,Robot,23.0
33,Food & Drink,23.0
34,Building,23.0
35,Cargo,23.0
36,Fire,23.0
37,Basic Set,22.0
38,Model,22.0
39,Traffic,38.0
40,Creature,38.0
41,Riding Cycle,38.0
42,Airport,38.0
43,Building,38.0
44,Recreation,38.0
45,Cargo,38.0
46,Harbor,38.0
47,Fire,38.0
48,Supplemental,22.0
49,Mecha,22.0
50,Town,
51,Arctic,50.0
52,City,50.0
53,Airport,52.0
54,Cargo,52.0
55,Coast Guard,52.0
56,Construction,52.0
57,Farm,52.0
58,Fire,52.0
59,Harbor,52.0
60,Hospital,52.0
61,Police,52.0
62,Supplemental,52.0
63,Traffic,52.0
64,Off-Road,52.0
65,Arctic,52.0
66,Trains,52.0
67,Classic Town,50.0
68,Airport,67.0
69,Building,67.0
70,Cargo,67.0
71,Coast Guard,67.0
72,Construction,67.0
73,Farm,67.0
74,Fire,67.0
75,Food & Drink,67.0
76,Station,67.0
77,Harbor,67.0
78,Hospital,67.0
79,Off-Road,67.0
80,Police,67.0
81,Post Office,67.0
82,Race,67.0
83,Recreation,67.0
84,Supplemental,67.0
85,Traffic,67.0
86,Divers,50.0
87,Extreme Team,50.0
88,Launch Command,50.0
89,Outback,50.0
90,Paradisa,50.0
91,Race,50.0
92,Res-Q,50.0
93,Space Port,50.0
94,Town Jr.,50.0
95,Cargo,94.0
96,Coast Guard,94.0
97,Construction,94.0
98,Fire,94.0
99,Gas Station,94.0
100,Police,94.0
101,Race,94.0
102,Supplemental,94.0
103,Traffic,94.0
104,Town Plan,50.0
105,World City,50.0
106,Airport,105.0
107,Coast Guard,105.0
108,Fire,105.0
109,Food & Drink,105.0
110,Harbor,105.0
111,Police,105.0
112,Racers,
113,Drome Racers,112.0
114,Ferrari,112.0
115,Lamborghini,112.0
116,Power Racers,112.0
117,Radio Control,112.0
118,Speed Racer,112.0
119,Supplemental,112.0
120,Tiny Turbos,112.0
121,Track System,112.0
122,Williams F1,112.0
123,World Racers,112.0
124,Supplemental,123.0
125,Xalax,112.0
126,Space,
127,Alien Conquest,126.0
128,Blacktron I,126.0
129,Blacktron II,126.0
130,Classic Space,126.0
131,Exploriens,126.0
132,Futuron,126.0
133,Ice Planet 2002,126.0
134,Insectoids,126.0
135,Life On Mars,126.0
136,M:Tron,126.0
137,Mars Mission,126.0
138,RoboForce,126.0
139,Space Police I,126.0
140,Space Police II,126.0
141,Space Police III,126.0
142,Spyrius,126.0
143,Supplemental,126.0
144,UFO,126.0
145,Unitron,126.0
146,Galaxy Squad,126.0
147,Pirates,
148,Pirates I,147.0
149,Imperial Armada,148.0
150,Imperial Guards,148.0
151,Imperial Soldiers,148.0
152,Islanders,148.0
153,Pirates II,147.0
154,Pirates III,147.0
155,Modular Buildings,
156,Mini,155.0
157,Bricktober,155.0
158,Star Wars,
159,Mini,158.0
160,Star Wars Clone Wars,159.0
161,Star Wars Episode 2,159.0
162,Star Wars Episode 3,159.0
163,Star Wars Episode 4/5/6,159.0
164,Star Wars Episode 1,159.0
165,Star Wars Clone Wars,158.0
166,Star Wars Episode 1,158.0
167,Star Wars Episode 2,158.0
168,Star Wars Episode 3,158.0
169,Star Wars Episode 4/5/6,158.0
170,Star Wars Other,158.0
171,Ultimate Collector Series,158.0
172,Star Wars Episode 1,171.0
173,Star Wars Episode 3,171.0
174,Star Wars Episode 4/5/6,171.0
175,Star Wars Episode 2,171.0
176,Planet Series 1,158.0
177,Planet Series 2,158.0
178,Minifig Pack,158.0
179,Planet Series 3,158.0
180,Planet Series 4,158.0
181,Star Wars Episode 4/5/6,180.0
182,Star Wars Rebels,158.0
183,Star Wars Expanded Universe,158.0
184,Star Wars Episode 7,158.0
185,Star Wars Rogue One,158.0
186,Castle,
187,Black Falcons,186.0
188,Black Knights,186.0
189,Classic Castle,186.0
190,Crusaders,186.0
191,Dark Forest,186.0
192,Dragon Knights,186.0
193,Fantasy Era,186.0
194,Forestmen,186.0
195,Fright Knights,186.0
196,Kingdoms,186.0
197,Knights Kingdom I,186.0
198,Knights Kingdom II,186.0
199,Lion Knights,186.0
200,My Own Creation,186.0
201,Royal Knights,186.0
202,Supplemental,186.0
203,Wolfpack,186.0
204,Designer Sets,
205,Building,204.0
206,Seasonal,
207,Advent,206.0
208,City,207.0
209,Star Wars,207.0
210,Belville,207.0
211,Castle,207.0
212,Classic Basic,207.0
213,Clikits,207.0
214,Creator,207.0
215,Pirates,207.0
216,Friends,207.0
217,Advent Sub-Set,206.0
218,Belville,217.0
219,Castle,217.0
220,City,217.0
221,Classic Basic,217.0
222,Clikits,217.0
223,Creator,217.0
224,Pirates,217.0
225,Star Wars,217.0
226,Friends,217.0
227,Christmas,206.0
228,Creator,227.0
229,Easter,206.0
230,Halloween,206.0
231,Thanksgiving,206.0
232,Valentine,206.0
233,Train,
234,12V,233.0
235,4.5V,233.0
236,9V,233.0
237,My Own Creation,236.0
238,My Own Train,236.0
239,World City,236.0
240,RC Train,233.0
241,Supplemental,233.0
242,12V,241.0
243,4.5V,241.0
244,9V,241.0
245,RC Train,241.0
246,Harry Potter,
247,Chamber of Secrets,246.0
248,Goblet of Fire,246.0
249,Order of the Phoenix,246.0
250,Prisoner of Azkaban,246.0
251,Sorcerer's Stone,246.0
252,Architecture,
253,Skylines,252.0
254,Bulk Bricks,
255,Castle,254.0
256,Technic,254.0
257,Train,254.0
258,Mindstorms,
259,NXT,258.0
260,RCX,258.0
261,Star Wars,258.0
262,EV3,258.0
263,Pirates of the Caribbean,
264,Indiana Jones,
265,Kingdom of the Crystal Skull,264.0
266,Last Crusade,264.0
267,Raiders of the Lost Ark,264.0
268,Temple of Doom,264.0
269,Cars,
270,Ben 10,
271,Prince of Persia,
272,SpongeBob SquarePants,
273,Studios,
274,Jurassic Park III,273.0
275,Toy Story,
276,Sculptures,
277,Mosaic,276.0
278,Model Team,
279,4 Juniors,
280,Jack Stone,279.0
281,Police,280.0
282,Airport,280.0
283,Fire,280.0
284,Traffic,280.0
285,Gas Station,280.0
286,Pirates,279.0
287,Spider-Man,279.0
288,Spider-Man 2,287.0
289,Supplemental,279.0
290,Town,279.0
291,Police,290.0
292,Traffic,290.0
293,Construction,290.0
294,Gas Station,290.0
295,Fire,290.0
296,Adventurers,
297,Desert,296.0
298,Dino Island,296.0
299,Jungle,296.0
300,Orient Expedition,296.0
301,Other,
302,Agents,
303,Ultra Agents,302.0
304,Alpha Team,
305,Mission Deep Sea,304.0
306,Mission Deep Freeze,304.0
307,Aquazone,
308,Aquanauts,307.0
309,Aquaraiders I,307.0
310,Aquaraiders II,307.0
311,Aquasharks,307.0
312,Hydronauts,307.0
313,Stingrays,307.0
314,Supplemental,307.0
315,Atlantis,
316,Mini,315.0
317,Avatar,
318,Belville,
319,Fairy-Tale,318.0
320,Golden Land,318.0
321,Hospital,318.0
322,Playhouse,318.0
323,Recreation,318.0
324,Bionicle,
325,Agori,324.0
326,Barraki,324.0
327,Battle Vehicles,324.0
328,Bohrok,324.0
329,Bohrok Va,324.0
330,Bohrok-Kal,324.0
331,Glatorian,324.0
332,Glatorian Legends,324.0
333,Matoran of Light,324.0
334,Matoran of Mahri Nui,324.0
335,Matoran of Mata Nui,324.0
336,Matoran of Metru Nui,324.0
337,Matoran of Voya Nui,324.0
338,Mistika,324.0
339,Phantoka,324.0
340,Piraka,324.0
341,Playsets,324.0
342,Rahaga,324.0
